equipment_id,name,part,slot,item_type,level_limit,set_name
equipment_b5db9995cbf9e10de3da,아스트라 포스실드,포스실드,보조무기,equipment,200,
equipment_ef69fadadce896de3bf8,데스티니 데스페라도,데스페라도,무기,equipment,250,
equipment_5de1fd879d7fbbac0f05,아스트라 로자리오,로자리오,보조무기,equipment,200,
equipment_c648882ae7586d36a298,가디언 엔젤 링,반지,반지1,equipment,160,
equipment_aceaa48c8d47632634d6,아스트라 웨폰 벨트,웨폰 벨트,보조무기,equipment,200,
equipment_fc66640bfab4d6fa3a3d,데스티니 브레스 슈터,브레스 슈터,무기,equipment,250,
equipment_8e9b0baff8ea5e030a48,아스트라 에메랄드,보석,보조무기,equipment,200,
equipment_bffdefcbad5f12b266f2,팔콘아이,조준기,보조무기,equipment,100,
equipment_db43ec4141f762c7e401,스칼렛 숄더,어깨장식,어깨장식,equipment,135,
equipment_08042651011889ea182a,데스티니 튜너,튜너,무기,equipment,250,
equipment_a5495b430e99923370f1,아스트라 렐릭,렐릭,보조무기,equipment,200,
equipment_da143748a5bc0248c9d3,데스티니 에인션트 보우,에인션트 보우,무기,equipment,250,
equipment_b7d5a0da535a763d842a,실버블라썸 링,반지,반지1,equipment,110,
equipment_b14c0c7fe29088365749,데스티니 케인,케인,무기,equipment,250,
equipment_a3e51e82db4fab537bfb,아케인셰이드 메이지햇,모자,모자,equipment,200,아케인셰이드 세트
equipment_b8340cd566391bd16c4e,베어스 레드 펜던트,펜던트,펜던트,equipment,110,
equipment_d7b5a38254b6c8c2f432,아스트라 데카코어 컨트롤러,컨트롤러,보조무기,equipment,200,
equipment_882702cf0134b72b2f65,데스티니 에너지체인,에너지소드,무기,equipment,250,
equipment_3ee57d6ef32a08a4e533,아스트라 노바의 정수,용의 정수,보조무기,equipment,200,
equipment_98596cef57a3de20a0fe,제네시스 투핸드해머,두손둔기,무기,equipment,200,
equipment_a05c7dd6b920a40ed4c2,아스트라 브레이슬릿,브레이슬릿,보조무기,equipment,200,
equipment_f0bc1dfa5387a5b6e423,코스모스 링,반지,반지1,equipment,120,
equipment_74795ae887aeb0e6fa57,아스트라 탈리스만,부적,보조무기,equipment,200,
equipment_fbe4a6b7812ef125da1b,SS급 마스터 쥬얼링,반지,반지4,equipment,120,
equipment_4e1e7e99f11027bdf8ea,꿈나무,훈장,훈장,equipment,0,
equipment_aa1b94fea66acb88f1d5,결속의 반지,반지,반지3,equipment,120,
equipment_802cdb1a29d3b42fcf03,코스모스 링,반지,반지4,equipment,120,
equipment_28b2dc5f9cf8e3535a0f,아스트라 매직윙,매직윙,보조무기,equipment,200,
equipment_4bc9c15b190a8190cc89,제네시스 매직 건틀렛,매직 건틀렛,무기,equipment,200,
equipment_84fcfe9511701fd5421f,골드 크리스탈 엠블렘,엠블렘,엠블렘,equipment,100,
equipment_d2e96b0de4efa20c4b69,어비스 마스크,드래곤 모자,드래곤 모자,equipment,125,
equipment_6d77fc800850980a4182,어비스 펜던트,드래곤 펜던트,드래곤 펜던트,equipment,125,
equipment_ef710fcc153c3b9ee965,어비스 윙즈,드래곤 날개장식,드래곤 날개장식,equipment,125,
equipment_e1ff36041674e8901125,어비스 테일,드래곤 꼬리장식,드래곤 꼬리장식,equipment,125,
equipment_869f90b9ce2120974c97,퓨어 골드 엔진,메카닉 엔진,메카닉 엔진,equipment,120,
equipment_b36b94cd5ce81e208b4e,퓨어 골드 머신 암,메카닉 암,메카닉 암,equipment,120,
equipment_e02d0289c04e480aa812,퓨어 골드 머신 레그,메카닉 레그,메카닉 레그,equipment,120,
equipment_a7adf06d560a9804b202,퓨어 골드 바디 프레임,메카닉 프레임,메카닉 프레임,equipment,120,
equipment_61f91c914cb88d226a7d,퓨어 골드 트랜지스터,메카닉 트랜지스터,메카닉 트랜지스터,equipment,120,
equipment_f58e66031361f1fed99d,앱솔랩스 무기,무기,무기,equipment,160,앱솔랩스 세트
equipment_7f10fc424386b7f5836d,앱솔랩스 견장,어깨장식,어깨장식,equipment,160,앱솔랩스 세트
equipment_5dd323baecaac34daa89,아케인셰이드 무기,무기,무기,equipment,200,아케인셰이드 세트
equipment_1fa64aaaedbca814ced2,아케인셰이드 방어구,방어구,방어구,equipment,200,아케인셰이드 세트
equipment_9b477280be217e8a10ab,에테르넬 방어구,방어구,방어구,equipment,250,에테르넬 세트
